gsm,plate,date,n_leaves,day,treatment,substrate
GSM5691025,P4,2021-05-12,3,10,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-13,3,11,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-14,4,12,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-15,4,13,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-16,5,14,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-17,6,15,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-18,6,16,Apollo 12 regolith,A12
GSM5691026,P4,2021-05-06,0,4,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-07,0,5,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-08,2,6,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-09,2,7,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-10,2,8,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-12,2,10,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-13,2,11,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-14,3,12,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-15,4,13,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-16,4,14,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-17,4,15,Apollo 17 regolith,A17
GSM5691026,P4,2021-05-18,4,16,Apollo 17 regolith,A17
