gene,SYMBOL,GENENAME
AT2G39670,,
AT2G39675,,
AT2G39681,,
AT2G39690,,
AT2G39700,ATEXP4|ATEXPA4|ATHEXP|EXPA4|XPA4,"putative expansin. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana."
AT2G39705,DVL11|RTFL8,
AT2G39710,,Encodes a Cysteine-rich peptide (CRP) family protein
AT2G39720,BTL11|RHC2A,Encodes a putative RING-H2 finger protein RHC2a.
AT2G39725,SDHAF1,
AT2G39730,RCA,"Rubisco activase, a nuclear-encoded chloroplast protein that consists of two isoforms arising from alternative splicing in most plants. Required for the light activation of rubisco."
AT2G39740,HESO1,
AT2G39750,,
AT2G39760,ATBPM3|BPM3,
AT2G39770,CYT1|EMB101|GMP1|SOZ1|VTC1,"Encodes a GDP-mannose pyrophosphorylase/ mannose-1-pyrophosphatase. This enzyme provides GDP-mannose, which is used for cell wall carbohydrate biosynthesis and protein glycosylation as well as for ascorbate (vitamin C) biosynthesis.  Mutations in this gene confer hypersensitivity to NH4+."
AT2G39780,RNS2,S-like ribonuclease
AT2G39795,,
AT2G39800,ATP5CS|P5CS1,"encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. P5CS1 appears to be involved in salt stress responses related to proline accumulation, including protection from reactive oxidative species. P5CS1 appears to be present in different cells and/or different subcellular locations from P5CS2 in a tissue-dependent manner.|encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. P5CS1 appears to be involved in salt stress responses related to proline accumulation, including protection from reactive oxidative species. P5CS1 appears to be present in different cells and/or different subcellular locations from P5CS2 in a tissue-dependent manner."
AT2G39805,,
AT2G39810,ESD6|HOS1,A novel protein with a RING finger motif near the amino terminus. Negative  regulator of cold responses. Functions as an E3 ligase required for the ubiquitination of ICE1. HOS1  physically interacts with ICE1 and mediates the ubiquitination of  ICE1 both in vitro and in vivo. Overexpression represses the expression of CBFs and their downstream genes and confers increased sensitivity to freezing stress.
AT2G39820,eIF6B,
AT2G39830,DAR2|LRD3,
AT2G39840,TOPP4,"Encodes the catalytic subunit of a Type 1 phosphoprotein Ser/Thr phosphatase, expressed in roots, shoots and flowers."
AT2G39850,,
AT2G39855,,
AT2G39870,,
AT2G39880,AtMYB25|MYB25,Encodes a putative transcription factor (MYB25).
AT2G39890,ATPROT1|PROT1,"Encodes a proline transporter with affinity for gly betaine, proline and GABA.  Protein is expressed in the vascular tissue, specifically the phloem."
AT2G39900,WLIM2a,
AT2G39910,,
AT2G39920,,
AT2G39930,ATISA1|ISA1,Encodes an isoamylase-type debranching enzyme. Mutations in this gene cause the loss of detectable isoamylase activity and the disruption of normal starch structure. Mutants have reduced starch content and abnormally structured amylopectins and phytoglycogens. It has been postulated that AtISA1 interacts with AtISA2 to form the Iso1 complex.
AT2G39940,COI1,"Encodes a protein containing Leu-rich repeats  and a degenerate F-box motif. Associates with AtCUL1, AtRbx1, and the Skp1-like proteins ASK1 and ASK2 to assemble SCF COI1 ubiquitin-ligase complexes in planta. A single amino acid substitution in the F-box motif of COI1 abolishes the formation of the SCF(COI1) complexes and results in loss of the JA response. Required for wound- and jasmonates-induced transcriptional regulation."
AT2G39950,,
AT2G39960,,
AT2G39970,APEM3|PMP38|PXN,
AT2G39980,,
AT2G39990,AteIF3f|EIF2|eIF3F,translation initiation factor eIF2 p47 subunit homolog
AT2G40000,ATHSPRO2|HSPRO2,
AT2G40008,,
AT2G40010,uL10z,
AT2G40020,,
AT2G40030,ATNRPD1B|DMS5|DRD3|NRPD1B|NRPE1,Encodes the unique largest subunit of nuclear DNA-dependent RNA polymerase V; homologous to budding yeast RPB1 and the E. coli RNA polymerase beta prime subunit.  Required for normal RNA-directed DNA methylation at non-CG methylation sites and transgene silencing.
AT2G40050,,
AT2G40060,CLC2,
AT2G40070,BPP1,
AT2G40080,ELF4,"Encodes a novel nuclear 111 amino-acid phytochrome-regulated component of a negative feedback loop involving the circadian clock central oscillator components CCA1 and LHY. ELF4 is necessary for light-induced expression of both CCA1 and LHY, and conversely, CCA1 and LHY act negatively on light-induced ELF4 expression.  ELF4 promotes clock accuracy and is required for sustained rhythms in the absence of daily light/dark cycles.  It is involved in the phyB-mediated constant red light induced seedling de-etiolation process and may function to coregulate the expression of a subset of phyB-regulated genes."
AT2G40085,,
AT2G40090,ABC1K15|ATATH9|ATH9,member of ATH subfamily
AT2G40095,,
AT2G40100,LHCB4.3|LHCB8,"Lhcb4:3 protein (Lhcb4.3, light harvesting complex of photosystem II"
AT2G40110,,
AT2G40113,,
AT2G40116,,
AT2G40120,DYRKP-3,
AT2G40130,SMXL8,
AT2G40140,AtC3H29|ATSZF2|CZF1|SZF2|TZF10|ZFAR1,
AT2G40150,TBL28,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
AT2G40160,TBL30,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
AT2G40165,,
AT2G40170,ATEM6|EM6|GEA6,Encodes a group 1 LEA gene that is activated by direct binding of ABI5 to its promoter and is involved in response to ABA. Is required for normal seed development. Involved in regulating the timing of dessication tolerance and rate of water loss during seed maturation.
AT2G40180,ATHPP2C5|PP2C5,"Encodes PP2C5, a member of the PP2C family phosphatases.  PP2C5 acts as a MAPK phosphatase that positively regulates seed germination, stomatal closure and ABA-inducible gene expression."
AT2G40190,LEW3,"Encodes a putative alpha-1,2-mannosyltransferase in N-linked glycoprotein (homologous to yeast ALG11).  Plays vital roles in cell-wall biosynthesis and abiotic stress response. Located in  endoplasmic reticulum membrane."
AT2G40200,,
AT2G40205,eL41y,
AT2G40230,,
AT2G40240,,
AT2G40250,,
AT2G40260,MYS2,
AT2G40270,,
AT2G40280,,
AT2G40290,,
AT2G40300,ATFER4|FER4,"Encodes FERRITIN 4, AtFER4.  Ferritins are a class of 24-mer multi-meric proteins found in all kingdoms of life.  Function as the main iron store in mammals.  Evidence suggests that Arabidopsis ferritins are essential to protect cells against oxidative damage, but they do not constitute the major iron pool. Localize to mitochondria. Knock out mutants are not sensitive to abiotic stress."
AT2G40316,,
AT2G40320,TBL33,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
AT2G40330,PYL6|RCAR9,Encodes a member of the PYR (pyrabactin resistance  )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members.  PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2.
AT2G40340,AtERF48|DREB2C,Encodes a member of the DREB subfamily A-2 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are eight members in this subfamily including DREB2A AND DREB2B that are involved in response to drought.
AT2G40350,,encodes a member of the DREB subfamily A-2 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are eight members in this subfamily including DREB2A AND DREB2B that are involved in response to drought.
AT2G40360,AtPEIP1|AtPEP1|BOP1,
AT2G40370,LAC5,"putative laccase, a member of laccase family of genes (17 members in Arabidopsis)."
AT2G40380,PRA1.B2,
AT2G40390,,
AT2G40400,BPG3|RER5,
AT2G40410,AtCaN2|CAN2,
AT2G40420,AtAvt6D,Encodes a putative amino acid transporter.
AT2G40430,SMO4,
AT2G40435,,
AT2G40460,,
AT2G40470,ASL11|LBD15,
AT2G40475,ASG8,
AT2G40480,,
AT2G40490,HEME2,
AT2G40500,,
AT2G40510,eS26z,
AT2G40520,NTP2,
AT2G40530,,
AT2G40540,ATKT2|ATKUP2|KT2|KUP2|SHY3|TRK2,"putative potassium transporter AtKT2p (AtKT2) mRNA,"
AT2G40550,ETG1,"Encodes a nuclear localized target of E2Fa-DPa, transcription factors controlling cell cycle progression. Required for sister chromatid cohesion and DNA repair."
AT2G40570,,
AT2G40590,eS26y,
AT2G40600,,
AT2G40610,ATEXP8|ATEXPA8|ATHEXP|EXP8|EXPA8,"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana."
AT2G40620,bZIP18,
AT2G40630,BTE1,
AT2G40640,PUB62,
AT2G40650,PRP38,
AT2G40660,,
AT2G40670,ARR16|RR16,response regulator 16
AT2G40690,GLY1|SFD1,"Encodes a putative dihydroxyacetone phosphate (DHAP) reductase involved  in glycerol-3-phosphate supply within the chloroplast for synthesis of glycerolipids. Mutants have reduced levels of hexadecatrienoic acid, which is rescued by exogenous  glycerol-3-phosphate. This gene appears to be involved in the flux of fatty acids in the prokaryotic glyerolipid biosynthesis pathway."
AT2G40700,RH17,
AT2G40710,,
AT2G40711,,
AT2G40720,,
AT2G40730,CTEXP,
AT2G40740,ATWRKY55|WRKY55,member of WRKY Transcription Factor; Group III
AT2G40750,ATWRKY54|WRKY54,member of WRKY Transcription Factor; Group III
AT2G40760,,
AT2G40765,,
AT2G40770,,
AT2G40780,,
AT2G40790,ATCXXS2|CXXS2,"Encodes a monocysteinic thioredoxin, thioredoxin in which the second cysteine of the redox site is replaced by a serine, with low disulfide reductase but efficient disulfide isomerase activity.  It contains a large N-terminal extension with respect to the dicysteinic thioredoxins that is enriched with 8 cysteines and positively charged residues."
AT2G40800,AtTIM21L-1,
AT2G40810,ATATG18C|ATG18C,
AT2G40815,,
AT2G40820,,
AT2G40830,AIRP5|BTL01|GARU|RHC1A,Encodes a putative RING-H2 finger protein RHC1a.
AT2G40840,DPE2,"Encodes a cytosolic protein with transglucosidase and amylomaltase activity.   It is an essential component of the pathway from starch to sucrose and cellular metabolism in leaves at night. The protein binds to heteroglycans and utilizes glucose, mannose and xylose as acceptors. Fucose and galactose can also act as acceptors but less efficiently than the previous three. It was also was also recently reported to act on maltodextrins.  On the other hand, arabinose and fructose were not efficiently used.  Its role probably includes metabolizing maltose exported from the chloroplast. Studies using maltose extracted from the double mutant be2-1 be3-2 showed that this enzyme is preferentially active of &#946;-maltose."
AT2G40850,ATPI4K|PI4K,
AT2G40860,VTC3,
AT2G40880,ATCYSA|CYSA|FL3-27,"Encodes a protein with cysteine proteinase inhibitor activity. Overexpression increases tolerance to abiotic stressors (i.e.salt,osmitic, cold stress)."
AT2G40890,CYP98A3|REF8,"encodes coumarate 3-hydroxylase (C3H), a P450-dependent monooxygenase. Involved in lignin biosynthesis and flavonoid biosynthesis.  Also affects the biosynthesis of coumarins such as scopoletin and scopolin as a branching-out-pathway from the phenylpropanoid acid level."
AT2G40900,UMAMIT11,
AT2G40910,,
AT2G40920,,
AT2G40930,ATUBP5|PDE323|UBP5,Encodes ubiquitin-specific protease with nuclear localization signals that is likely to be involved in ubiquitin-mediated protein degradation.
AT2G40935,,
AT2G40940,ERS|ERS1,"Ethylene receptor, subfamily 1. Has histidine kinase activity."
AT2G40950,BZIP17,"bZIP17 appears to regulate transcription as part of a salt and osmotic stress response. zip17 mutants show enhanced inhibition of primary root elongation in response to NaCl. Several salt-responsive genes, such as ATHB-7 show a reduced transcriptional response to a salt treatment in zip17 mutant seedlings. myc:bZIP17 undergoes proteolytic processing in salt-treated wild type seedlings, but not in s1p-3 (subtilase) mutants and there is also evidence for S1P-mediated cleavage of bZIP17 in vitro. In addition, an mGFP:bZIP17 protein moves from the ER to the nucleus following salt treatment."
AT2G40955,,
AT2G40960,,
AT2G40970,MYBC1,
AT2G40980,,
AT2G41000,,
AT2G41010,ATCAMBP25|CAMBP25,"Encodes a novel calmodulin binding protein whose gene expression is induced by dehydration and ionic (salt) and non-ionic (mannitol) osmotic stress. Lines over-expressing this gene are more sensitive and anti-sense lines are more tolerant to osmotic stress, suggesting this gene may be a negative regulator of response to osmotic stress."
AT2G41020,,
AT2G41040,,
AT2G41050,,
AT2G41060,,
AT2G41070,ATBZIP12|DPBF4|EEL,Transcription factor homologous to ABI5. Regulates AtEm1 expression by binding directly at the AtEm1 promoter. Located in the nucleus and expressed during seed maturation in the cotyledons and later in the whole embryo.
AT2G41080,,
AT2G41082,,
AT2G41090,CML10,
AT2G41100,ATCAL4|CML12|TCH3,"encodes a calmodulin-like protein, with six potential calcium binding domains. Calcium binding shown by Ca(2+)-specific shift in electrophoretic mobility. Expression induced by touch and darkness. Expression may also be developmentally controlled. Expression in growing regions of roots, vascular tissue, root/shoot junctions, trichomes, branch points of the shoot, and regions of siliques and flowers."
AT2G41110,ATCAL5|CAM2,Encodes a touch-inducible calmodulin that has higher affinity to kinesin-like calmodulin binding motor protein than CAM4 or CAM6.
AT2G41120,,
AT2G41130,bHLH106|STC8,
AT2G41140,ATCBK3|ATCRK1|CRK1,Encodes CDPK-related kinase 1 (CRK1).
AT2G41150,,
AT2G41160,UBAC2B,
AT2G41170,,
AT2G41178,,
AT2G41180,SIB2,
AT2G41190,,
AT2G41200,,
AT2G41210,PIP5K5,Encodes a protein with phosphatidylinositol-4-phosphate 5-kinase activity that plays a role in pollen tip growth. The enzyme localizes to the apical plasma membrane and adjacent cytosolic region of pollen tubes. Overexpression of this gene leads to increased deposition of pectin in the cell wall at the tip of the pollen tube and causes altered pollen tube morphology.
AT2G41220,GLU2,Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression is most abundant in root.
AT2G41230,ARL2|OSR1,
AT2G41240,BHLH100,Encodes a member of the basic helix-loop-helix transcription factor family protein.
AT2G41250,,
AT2G41260,ATM17|M17,Late-embryogenesis-abundant gene. Involved in the acquisition of desiccation tolerance during late phase of embryogenesis.
AT2G41280,ATM10|M10,"Encodes a hydrophilic protein similar to Late Embryogenesis Activated (LEA) proteins expressed during embryogenesis, which are thought to be involved in the acquisition of dessication tolerance."
AT2G41290,SSL2,"Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity."
AT2G41300,SSL1,"Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity."
AT2G41310,ARR8|ATRR3|RR3,Encodes an A- type response Regulator that is primarily expressed in the root and is involved in cytokinin-mediated signalling.
AT2G41312,,
AT2G41330,,
AT2G41340,RPB5D,NRPE5-like protein of unknown function; homologous to budding yeast RPB5
AT2G41342,,
AT2G41350,AtAUG1|AUG1|EMB2819,
AT2G41370,BOP2,"Encodes BOP2, a cytoplasmic and nuclear-localized NPR1 like protein with BTB/POZ domain and ankyrin repeats. Interacts with BOP1 and appears to be genetically redundant with BOP1.bop1/bop2 double mutants have longer leaves, often with leaflets on the petiole, asymmetric flowers with extra organs and no nectaries. Also defective in floral organ abscission.  BOP1/2 promotes floral meristem fate and determinacy in a pathway targetting APETALA1 and AGAMOUS-LIKE24. PUCHI, BOP1 and BOP2 are redundantly required for expression of LFY and AP1."
AT2G41375,,
AT2G41380,,
AT2G41410,,
AT2G41420,WIH2,
AT2G41430,CID1|ERD15|LSR1,"Encodes hydrophilic protein lacking Cys residues that is expressed in response to drought stress, light stress and treatment with plant-growth-promoting rhizobacteria (Paenibacillus polymyxa), possibly revealing a connection between responses to biotic and abiotic stress. Also identified as a  CTC Interacting Domain (CID) protein in a yeast two hybrid screen using the PAB2 protein as bait. Contains PAM2 like domain which mediates interaction with PABC domain in PAB2."
AT2G41440,,
AT2G41445,,
AT2G41450,,
AT2G41451,,
AT2G41460,ARP,"apurinic endonuclease-redox protein. It functions as an apurinic/apyrimidinic class II endonuclease, and is involved in DNA repair."
AT2G41475,ATS3A,
AT2G41480,AtPRX25|PRX25,
AT2G41490,GPT,UDP-GlcNAc:dolichol phosphate N-acetylglucosamine-1-phosphate transferase
AT2G41500,AtPRP4|AtSAP60|EMB2776|LIS|PRP4,"Encodes LACHESIS (LIS), a protein with seven WD40 repeats. LIS is homologous to the yeast splicing factor PRP4 which is associated with the U4/U6 complex of the spliceosome.  LIS is involved in a mechanism that prevents accessory cells from adopting gametic cell fate: lis mutant forms supernumerary egg cells."
AT2G41505,,
AT2G41510,ATCKX1|CKX1,"It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins."
AT2G41515,,
AT2G41520,DJC62|TPR15,
AT2G41530,ATSFGH|SFGH,Encodes a protein with S-formylglutathione hydrolase activity.
AT2G41540,GPDHC1,"Encodes a protein with NAD-dependent glycerol-3-phosphate (G3P) dehydrogenase which was shown to complement an Escherichia coli strain: BB20-14, auxotrophic for glycerol/G3P due to a loss-of-function mutation in the gpsA gene."
AT2G41550,,
AT2G41560,ACA4,encodes a calmodulin-regulated Ca(2+)-ATPase that improves salt tolerance in yeast. localized to the vacuole.
AT2G41600,,
AT2G41610,DICE1,
AT2G41620,,
AT2G41630,AtTFIIB1|TFIIB|TFIIB1,Encodes the transcription factor TFIIB.
AT2G41640,GT61,
AT2G41650,,
AT2G41660,MIZ1,"Essential for hydrotropism in roots. Mutant roots are defective in hydrotropism, and have slightly reduced phototropism and modified wavy growth response. Has normal gravitropism and root elongation."
AT2G41670,SIN2,
AT2G41680,NTRC,Encodes a NADPH thioredoxin reductase involved in chloroplast protection against oxidative damage.
AT2G41690,AT-HSFB3|HSFB3,member of Heat Stress Transcription Factor (Hsf) family
AT2G41700,ABCA1|AtABCA1,
AT2G41705,FEX,
AT2G41710,SMOS1,
AT2G41720,EMB2654,
AT2G41730,HRG1,
AT2G41740,ATVLN2|VLN2,Encodes a protein with high homology to animal villin.
AT2G41750,DTWD2A,
AT2G41760,NTAQ1,
AT2G41770,STL1,
AT2G41780,,
AT2G41790,,
AT2G41800,TEB,
AT2G41810,,
AT2G41820,PXC3,
AT2G41830,EFOP2,
AT2G41835,,
AT2G41840,uS5x,
AT2G41850,ADPG2|PGAZAT,ADPG2.
AT2G41860,CPK14,member of Calcium Dependent Protein Kinase
AT2G41870,AtREM4.2|REM4.2,
AT2G41880,AGK1|GK-1,Guanylate kinase. Involved in nucleotide metabolism.
AT2G41890,,
AT2G41900,AtC3H30|DEG9|OXS2|TZF7,
AT2G41905,,
AT2G41930,SETH7,
AT2G41940,ZFP8,Encodes a zinc finger protein containing only a single zinc finger.
AT2G41945,RED1,
AT2G41950,,
AT2G41960,,
AT2G41970,CARK4|MRI,
AT2G41980,SINAT1,
AT2G41990,CC3,
AT2G42005,AtAVT3B,
AT2G42010,PLDBETA|PLDBETA1,phospholipase D (PLDbeta)
AT2G42030,MUSE2,
AT2G42040,,
AT2G42060,,
AT2G42065,,
AT2G42070,ATNUDT23|ATNUDX23|NUDX23,
AT2G42080,BIL2,
AT2G42090,ACT9,"actin related gene or pseudogene, based on sequence divergence and lack of expression"
AT2G42110,,
AT2G42120,POLD2,
AT2G42130,,
AT2G42140,,
AT2G42150,,
AT2G42160,BRIZ1,
AT2G42170,,
AT2G42190,,
AT2G42200,AtSPL9|SPL9,Encodes a putative transcriptional regulator that is involved in the vegetative to reproductive phase transition. Expression is regulated by MIR156b. SPL  activity nonautonomously inhibits initiation of new leaves at the shoot apical meristem.
AT2G42210,ATOEP16-3|OEP16-3,"Homologous to pea OEP16 and barley pPORA (OEP16), a member of Arabidopsis OEP16 family."
AT2G42220,,
AT2G42230,,
AT2G42240,,
AT2G42247,,
AT2G42250,CYP712A1,member of CYP712A
AT2G42260,PYM|UVI4,Encodes a novel plant-specific protein of unknown function. The UVI4 gene is expressed mainly in actively dividing cells. The hypocotyl cells in mutant seedlings undergo one extra round of endoreduplication. The uvi4 mutation also promoted the progression of endo-reduplication during leaf development.
AT2G42270,BRR2b,
AT2G42280,AKS3|FBH4,
AT2G42290,,
AT2G42300,bHLH48,
AT2G42310,,
AT2G42320,,
AT2G42330,,
AT2G42340,,
AT2G42350,ATL40,
AT2G42360,ATL41,
AT2G42365,,
AT2G42370,,
AT2G42380,ATBZIP34|BZIP34|DEG7,Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP61. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells.
AT2G42388,,
AT2G42390,,
AT2G42395,,
AT2G42400,ATVOZ2|VOZ2,
AT2G42410,ATZFP11|ZFP11,Encodes a zinc finger protein ZFP11.  Overexpression of ZFP11 causes mortality and a deformed phenotype.
AT2G42430,ASL18|LBD16,LOB-domain protein gene LBD16. This gene contains one auxin-responsive element (AuxRE).
AT2G42450,COR15A|LEA24,
AT2G42480,,
AT2G42485,,
AT2G42490,CuAO-zeta,
AT2G42500,PP2A-3,"Encodes one of the isoforms of the catalytic subunit of protein phosphatase 2A: AT1G59830/PP2A-1, AT1G10430/PP2A-2, At2g42500/PP2A-3, At3g58500/PP2A-4 [Plant Molecular Biology (1993) 21:475-485 and (1994) 26:523-528; Note that in more recent publications, there is mixed use of gene names for PP2A-3 and PP2A-4 - some refer to At2g42500 as PP2A-3 and some as PP2A-4]."
AT2G42510,,
AT2G42520,RH37,
AT2G42530,COR15B,
AT2G42540,AtCOR15A|COR15|COR15A,A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA).
AT2G42560,LEA25,
AT2G42570,TBL39,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
AT2G42580,TTL3|VIT,Encodes a member of the TTL family and contains a thioredoxin like domain and three tandom TPRs. Interacts physically with BRL2/VH1 and appears to play a role in brassiosteroid and auxin signaling.
AT2G42590,GF14|GRF14|GRF9,14-3-3 gene. Binds calcium and displays induced structural changes.
AT2G42600,ATPPC2|PPC2,Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.
AT2G42610,LSH10,
AT2G42620,AtMAX2|MAX2|ORE9|PPS,"The mutations at  MAX2 cause increased hypocotyl and petiole elongation in  light-grown seedlings. Positional cloning identifies MAX2  as a member of the F-box leucine-rich repeat family of  proteins. MAX2 is identical to ORE9, a proposed regulator  of leaf senescence. Involved in positive regulation of light responses."
AT2G42640,,
AT2G42650,,
AT2G42670,PCO4,
AT2G42680,ATMBF1A|MBF1A,"One of three genes in A. thaliana encoding multiprotein bridging factor 1, a highly conserved transcriptional coactivator.  May serve as a bridging factor between a bZIP factor and TBP.  Its expression is developmentally regulated."
AT2G42690,AGAP1,
AT2G42700,MIP3|SLOH4,
AT2G42710,uL1m,
AT2G42720,,
AT2G42730,,
AT2G42740,RPL16A|uL5z,"encodes a cytosolic ribosomal protein L16, which is a constituent of 60S large ribosomal complex. Gene is expressed in root stele and anthers and expression is induced by auxin treatment."
AT2G42750,DJC77,
AT2G42760,,
AT2G42770,,
AT2G42780,,
AT2G42790,CSY3,Encodes a peroxisomal citrate synthase that is expressed throughout seedling and shoot development.
AT2G42800,AtRLP29|RLP29,
AT2G42810,AtPP5|PAPP5|PP5,Encodes a phytochrome-specific type 5 serine/threonine protein phosphatase. It dephosphorylates active Pfr-phytochromes. Controls light signal flux by enhancing phytochrome stability and affinity for a signal transducer. It localizes to the cytoplasm in darkness and in the nucleus in light. The gene is alternately spliced. This variant does not contain membrane domains.|Encodes a phytochrome-specific type 5 serine/threonine protein phosphatase. It dephosphorylates active Pfr-phytochromes. Controls light signal flux by enhancing phytochrome stability and affinity for a signal transducer. The gene is alternately spliced. This variant is an integral membrane protein localized to the ER and nuclear envelope.
AT2G42820,HVA22F,
AT2G42830,AGL5|SHP2,AGAMOUS [AG]-like MADS box protein (AGL5) involved in fruit development (valve margin and dehiscence zone differentiation). A putative direct target of AG. SHP2 has been shown to be a downstream gene of the complex formed by AG and SEP proteins (SEP4 alone does not form a functional complex with AG).
AT2G42840,PDF1,"Encodes a putative extracellular proline-rich protein is exclusively expressed in the L1 layer of vegetative, inflorescence and floral meristems and the protoderm of organ primordia."
AT2G42850,CYP718,member of CYP718
AT2G42860,,
AT2G42865,,
AT2G42870,HLH1|PAR1,"Encodes PHYTOCHROME RAPIDLY REGULATED1 (PAR1), an atypical basic helix-loop-helix (bHLP) protein.  Closely related to PAR2 (At3g58850).  Up regulated after simulated shade perception.  Acts in the nucleus to control plant development and as a negative regulator of shade avoidance response.  Functions as transcriptional repressor of auxin-responsive genes SAUR15 (AT4G38850) and SAUR68 (AT1G29510)."
AT2G42880,ATMPK20|MPK20,member of MAP Kinase
AT2G42885,,Encodes a defensin-like (DEFL) family protein.
AT2G42890,AML2|ML2,"A member of mei2-like gene family, predominantly plant-based family of genes encoding RNA binding proteins with characteristic presence of a highly conserved RNA binding motif first described in the mei2 gene of the fission yeast S. pombe. In silico analyses reveal nine mei2 -like genes in A. thaliana. They were grouped into four distinct clades, based on overall sequence similarity and subfamily-specific sequence elements. AML2 is a member of two sister clades of mei2-like gene family, AML1 through AML5, and belongs to the clade named ALM235. AML2 is expressed during early embryo development (heart and torpedo stage) and predominantly in vegetative organs; no significant accumulation was detected in floral apices."
AT2G42900,,
AT2G42910,AtPRS4|PRS4,
AT2G42920,,
AT2G42940,AHL16|TEK,
AT2G42950,,
AT2G42955,,
AT2G42960,,
AT2G42975,,
AT2G42980,,
AT2G42990,,
AT2G43000,ANAC042|AtJUB1|JUB1|NAC042,
AT2G43010,AtPIF4|PIF4|SRL2,Isolated as a semidominant mutation defective in red -light responses. Encodes a nuclear localized  bHLH protein that interacts with active PhyB protein. Negatively regulates phyB mediated red light responses. Involved in shade avoidance response. Protein abundance is negatively regulated by PhyB.
AT2G43020,ATPAO2|PAO2,
AT2G43030,PRPL3|uL3c,
AT2G43040,NPG1,encodes a calmodulin-binding protein that is expressed specifically in pollen and is required for pollen development.
AT2G43050,ATPMEPCRD|PME16,
AT2G43060,AtIBH1|IBH1,
AT2G43070,ATSPPL3|SPPL3,
AT2G43080,AT-P4H-1,"Encodes a prolyl-4 hydroxylase that can hydroxylate poly(L-proline),the collagen model peptide (Pro-Pro-Gly)10 and  other proline rich peptides."
AT2G43090,IPMI,
