gene,analysis,covariate,n_samples,mean_vst,spearman_rho,p_value,fdr,SYMBOL,GENENAME
AT3G16230,primary,leaf_auc,16,10.622286224715612,-0.8874174587906798,4.5425540346160245e-06,0.0016196958196457,AtKH15,
AT5G39890,primary,leaf_auc,16,8.183133367661577,-0.8874174587906798,4.5425540346160245e-06,0.0016196958196457,HUP43|PCO2,
AT1G05380,primary,leaf_auc,16,11.102029264123248,0.8859457880464167,4.954782996658551e-06,0.0016497892653357,,
AT2G41750,primary,leaf_auc,16,8.124841788084783,-0.8859457880464167,4.954782996658551e-06,0.0016497892653357,DTWD2A,
AT3G53210,primary,leaf_auc,16,8.17781623708954,-0.8859457880464167,4.954782996658551e-06,0.0016497892653357,UMAMIT6,
AT4G13700,primary,leaf_auc,16,9.312438147341965,-0.8859457880464167,4.954782996658551e-06,0.0016497892653357,ATPAP23|PAP23,
AT1G35190,primary,leaf_auc,16,10.629031374449218,-0.8844741173021535,5.39811215870714e-06,0.0016497892653357,,
AT2G36490,primary,leaf_auc,16,11.548036403323929,0.8844741173021535,5.39811215870714e-06,0.0016497892653357,AtROS1|DML1|ROS1,"A repressor of transcriptional gene silencing. Functions by demethylating the target promoter DNA. Interacts physically with RPA2/ROR1. In the ros1 mutants, an increase in methylation is observed in a number of gene promoters. Among the loci affected by ros1, a few (RD29A and At1g76930) are affected in cytosine methylation in all sequence contexts (CpG, CpNpG or CpNpN), although many others are affected primarily in non-CpG contexts."
AT2G41945,primary,leaf_auc,16,9.285472619884793,-0.8844741173021535,5.39811215870714e-06,0.0016497892653357,RED1,
AT3G09260,primary,leaf_auc,16,12.388649787133282,-0.8844741173021535,5.39811215870714e-06,0.0016497892653357,BGLU23|LEB|PSR3.1|PYK10,"Encodes beta-glucosidase.The major constituent of ER bodies. One of the most abundant proteins in Arabidopsis seedlings. Exist in an soluble (inactive) and non-soluble (active) form, most probably formed in a polymerization process. Involved in the mutualistic interaction between Arabidopsis and the endophytic fungus Piriformospora indica."
AT3G28220,primary,leaf_auc,16,14.832882704213992,-0.8844741173021535,5.39811215870714e-06,0.0016497892653357,,
AT4G17370,primary,leaf_auc,16,10.834096275254518,-0.8844741173021535,5.39811215870714e-06,0.0016497892653357,,
AT4G36770,primary,leaf_auc,16,6.805855744507479,0.8844741173021535,5.39811215870714e-06,0.0016497892653357,,
AT1G29720,primary,leaf_auc,16,11.484362390379834,0.8830024465578904,5.8744161926050715e-06,0.0016858858080557,RKFL1,
AT1G64360,primary,leaf_auc,16,9.54514791357668,0.8830024465578904,5.8744161926050715e-06,0.0016858858080557,SAQR,
AT1G65450,primary,leaf_auc,16,8.014014688107345,0.8830024465578904,5.8744161926050715e-06,0.0016858858080557,GLC,
AT5G54390,primary,leaf_auc,16,13.646829622488202,-0.8830024465578904,5.8744161926050715e-06,0.0016858858080557,AHL|ATAHL|HL,"Encodes a 3'-phosphoadenosine-5'-phosphate (PAP) phosphatase that is sensitive to physiological concentrations of Na+.  It does not also act as inositol polyphosphate 1-phosphatases, which other members of the HAL2-like family do.  It is proposed that AHL acts in concert with sulphotransferases to prevent both the toxicity of PAP on RNA processing enzymes as well as the product inhibition of PAP on sulphate conjugation."
AT5G55090,primary,leaf_auc,16,8.140369707918282,-0.8830024465578904,5.8744161926050715e-06,0.0016858858080557,MAPKKK15,member of MEKK subfamily
AT3G29637,primary,leaf_auc,16,5.8283351328309525,0.8822059835623425,6.146630850643179e-06,0.0017427549856407,,
AT1G19680,primary,leaf_auc,16,10.641321734488338,-0.8815307758136273,6.385654218588396e-06,0.0017473674503027,,
AT2G18390,primary,leaf_auc,16,9.535269850887277,-0.8815307758136273,6.385654218588396e-06,0.0017473674503027,ARL2|ATARLC1|HAL|TTN5,"Encodes a member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.  Mutant has abnormal mitosis and cell cycle control during seed development."
AT5G42860,primary,leaf_auc,16,7.572674046914237,0.8815307758136273,6.385654218588396e-06,0.0017473674503027,CC2,
AT5G23330,primary,leaf_auc,16,9.550705816929504,-0.8800591050693641,6.933872276735471e-06,0.0018755726010162,,
AT1G18680,primary,leaf_auc,16,8.759216255306598,-0.8785874343251009,7.521205826299174e-06,0.0019450168869263,M20,
AT1G58470,primary,leaf_auc,16,8.487453518766067,-0.8785874343251009,7.521205826299174e-06,0.0019450168869263,ATRBP1|RBP1,encodes an RNA-binding protein
AT3G14780,primary,leaf_auc,16,6.8656195418118795,-0.8785874343251009,7.521205826299174e-06,0.0019450168869263,,
AT4G28220,primary,leaf_auc,16,9.80467462864461,0.8785874343251009,7.521205826299174e-06,0.0019450168869263,NDB1,
AT2G34650,primary,leaf_auc,16,8.698219921621872,0.8771157635808378,8.149882272267349e-06,0.0020403316969496,ABR|PID,"Encodes a protein serine/threonine kinase that may act as a positive regulator of cellular auxin efflux, as a a binary switch for PIN polarity, and as a negative regulator of auxin signaling. Recessive mutants exhibit similar phenotypes as pin-formed mutants in flowers and inflorescence but distinct phenotypes in cotyledons and leaves. Expressed in the vascular tissue proximal to root and shoot meristems, shoot apex, and embryos. Expression is induced by auxin. Overexpression of the gene results in phenotypes in the root and shoot similar to those found in auxin-insensitive mutants. The protein physically interacts with TCH3 (TOUCH3) and PID-BINDING PROTEIN 1 (PBP1), a previously uncharacterized protein containing putative EF-hand calcium-binding motifs.  Acts together with ENP (ENHANCER OF PINOID) to instruct precursor cells to elaborate cotyledons in the transition stage embryo. Interacts with PDK1. PID autophosphorylation is required for the ability of PID to phosphorylate an exogenous substrate. PID activation loop is required for PDK1-dependent PID phosphorylation and requires the PIF domain. Negative regulator of root hair growth. PID kinase activity is critical for the inhibition of root hair growth and for maintaining  the proper subcellular localization of PID."
AT2G45135,primary,leaf_auc,16,11.527614635953432,-0.8771157635808378,8.149882272267349e-06,0.0020403316969496,,
AT5G15160,primary,leaf_auc,16,8.08433325379086,0.8771157635808378,8.149882272267349e-06,0.0020403316969496,BHLH134|BNQ2,BNQ2 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.
AT3G02860,primary,leaf_auc,16,11.233994018690126,-0.8756440928365746,8.822223518486922e-06,0.0021403441861912,ARS1,
AT3G21530,primary,leaf_auc,16,8.51807779808912,-0.8756440928365746,8.822223518486922e-06,0.0021403441861912,,
AT3G29270,primary,leaf_auc,16,10.30014545604356,-0.8756440928365746,8.822223518486922e-06,0.0021403441861912,,
AT1G20450,primary,leaf_auc,16,12.160601995638675,0.8741724220923115,9.540648546675424e-06,0.0022229711113753,ERD10|LTI29|LTI45,"Encodes a gene induced by low temperature and dehydration. Inhibits e.coli growth while overexpressed. Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. LTI29 and LTI30 double overexpressors confer cold tolerance. Localized to membranes and cytoplasm."
AT3G17930,primary,leaf_auc,16,12.242220628656831,-0.8741724220923115,9.540648546675424e-06,0.0022229711113753,DAC,
AT3G26080,primary,leaf_auc,16,9.819048677237635,-0.8741724220923115,9.540648546675424e-06,0.0022229711113753,FBN3b,
AT5G26270,primary,leaf_auc,16,7.291198716863784,-0.8741724220923115,9.540648546675424e-06,0.0022229711113753,,
AT1G67260,primary,leaf_auc,16,6.272063837714663,0.8738743883683384,9.691974214790197e-06,0.0022360904823201,TCP1,"Encodes protein with TCP (TB1,CYC,PCF) domain which is likely to be involved in DNA binding and protein-protein interactions. Based on genome analysis, there is a 9-member gene family that possesses this domain in Arabidopsis. Orthologue of Antirrhinum gene CYCLOIDEA."
AT1G17170,primary,leaf_auc,16,10.104109309145953,-0.8727007513480484,1.0307676020633737e-05,0.0022884013188072,ATGSTU24|GST|GSTU24,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G69440,primary,leaf_auc,16,9.010486582985912,0.8727007513480484,1.0307676020633737e-05,0.0022884013188072,AGO7|ZIP,"Encodes ARGONAUTE7, a member of the ARGONAUTE family, characterised by the presence of PAZ and PIWI domains. Involved in the regulation of developmental timing. Required for the accumulation of TAS3 ta-siRNAs but not for accumulation of miR171, miR173, miR390 or mi391.   Localized in mature rosette leaves and floral buds."
AT3G05675,primary,leaf_auc,16,8.614865269113045,0.8727007513480484,1.0307676020633737e-05,0.0022884013188072,,
AT5G66320,primary,leaf_auc,16,10.035454655735853,0.8727007513480484,1.0307676020633737e-05,0.0022884013188072,GATA5,"Encodes GATA transcription factor gene GNC, involved in regulating carbon and nitrogen metabolism. Expression occurs in aerial tissue at an early stage of  development and is inducible by nitrate."
AT1G28580,primary,leaf_auc,16,11.00860893600956,-0.8712290806037852,1.1125926914963928e-05,0.0024469760569144,AXE1|GELP7,
AT1G55000,primary,leaf_auc,16,11.137248662718568,-0.869757409859522,1.199812716758642e-05,0.0024986896162372,,
AT2G45100,primary,leaf_auc,16,8.259150059350992,0.869757409859522,1.199812716758642e-05,0.0024986896162372,BRF1,
AT3G23560,primary,leaf_auc,16,10.247407060952122,-0.869757409859522,1.199812716758642e-05,0.0024986896162372,ALF5,"Member of the multidrug and toxic compound extrusion (MATE) family, protects roots from inhibitory compounds."
AT4G20930,primary,leaf_auc,16,9.671736501264094,-0.869757409859522,1.199812716758642e-05,0.0024986896162372,HDH1,
AT4G38010,primary,leaf_auc,16,7.312073286212971,-0.869757409859522,1.199812716758642e-05,0.0024986896162372,,
AT5G67480,primary,leaf_auc,16,10.780920988354886,-0.869757409859522,1.199812716758642e-05,0.0024986896162372,ATBT4|BT4,"BTB and TAZ domain protein. Located in cytoplasm and expressed in fruit, flower and leaves."
AT1G17830,primary,leaf_auc,16,11.204274701067492,-0.8682857391152589,1.29271103553419e-05,0.0026624471649093,,
